okay o-kay
sorry sor-ry
speak speak
sperm sperm
search search
seriously se-ri-ous-ly
sorry sor-ry
serious se-ri-ous
seriously se-ri-ous-ly
service ser-vice
sorry sor-ry
seriously se-ri-ous-ly
stoned stoned
state state
stuff stuff
something some-thing
something some-thing
stupid stu-pid
stupid stu-pid
stupid stu-pid
suck suck
sucker suck-er
sucks sucks
someone some-one
something some-thing
something some-thing
someone some-one
something some-thing
something some-thing
super super
supposedly sup-pos-ed-ly
sucks sucks
sucks sucks
sucks sucks
sucks sucks
sucks sucks
sucks sucks
sucks sucks
seven sev-en
sweet sweet
sex sex
sexy se-xy
sexy se-xy
sexy se-xy
sex sex
sexy se-xy
sorry sor-ry
the the
taste taste
that that
retard re-tard
that that
tattoo tat-too
the the
that that
the the
there there
that's that's
then then
think think
thanks thanks
though though
there there
therefore there-fore
through through
that that
thanks thanks
tiger ti-ger
until un-til
is I-s
thanks thanks
told told
talk talk
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
tomorrow to-mor-row
thanks thanks
thanks thanks
tomorrow to-mor-row
tonight to-night
totally to-tal-ly
total to-tal
trouble trou-ble
tired tired
translate trans-late
translator trans-la-tor
true true
total to-tal
totally to-tal-ly
totally to-tal-ly
tough tough
television te-le-vi-sion
vagina va-gi-na
twitter twit-ter
thanks thanks
thanks thanks
text text
time time
time time
tired tired
you you
you're you're
you've you've
super super
over over
unlucky un-lu-cky
unfortunately un-for-tu-nate-ly
your your
yours yours
you've you've
vagina va-gi-na
vagina va-gi-na
video vid-e-o
varsity var-si-ty
very ve-ry
versus ver-sus
visit vis-it
whatever what-e-ver
whatever what-e-ver
with with
whatever what-e-ver
weekend week-end
whatever what-e-ver
without with-out
word word
weed weed
wait wait
waiter wait-er
what what
whatever what-e-ver
whatever what-e-ver
whatever what-e-ver
whatever what-e-ver
what's what's
drunk drunk
welcome wel-come
when when
works works
whatever what-e-ver
whatever what-e-ver
what what
thong thong
whatever what-e-ver
whatever what-e-ver
whenever when-e-ver
whatever what-e-ver
with with
friend Friend
where where
what what
whatever what-e-ver
whatever what-e-ver
whatever what-e-ver
whatever what-e-ver
what what
with with
without with-out
with with
winner win-ner
without with-out
with with
with with
week week
wicked wick-ed
weekend week-end
will will
welcome wel-come
welcome wel-come
would would
when when
wanker wank-er
want want
what what
whatever what-e-ver
wow wow
was was
word word
weirdo weird-o
work work
wrong wrong
writing wri-ting
worthless worth-less
whatever what-e-ver
whatever what-e-ver
whatever what-e-ver
love Love
would would
whatever what-e-ver
would would
what what
whatever what-e-ver
love Love
was was
why why
whatever what-e-ver
extreme ex-treme
except ex-cept
except ex-cept
excellent ex-cel-lent
transfer trans-fer
crossing cross-ing
exit ex-it
excellent ex-cel-lent
christmas Christ-mas
example ex-am-ple
hacker hack-er
crossover cross-o-ver
experience ex-pe-ri-ence
expect ex-pect
except ex-cept
crossroads cross-roads
excess ex-cess
ecstasy ec-sta-sy
extra ex-tra
extreme ex-treme
why why
you you
yeah yeah
cocaine co-caine
yeah yeah
yeah yeah
you're you're
yes yes
you you
yeah yeah
you you
young young
your your
you you
your your
year year
yearbook year-book
you you
you you
yes yes
your your
sex sex
cigarette cig-a-rette
