okay|0kkay
rate|r8t
rock|rawk
roar|rawr
received|rcvd
ready|rdy
reply|re
marijuana|reefer
really|rele
roger|rgr
right|rite
reject|rjct
really|rlly
really|rly
rules|rlz
realize|rlze
room|rm
remember|rmr
aren't|rnt
rocker|rockr
affirmative|rodger
affirmative|roger
affirmative|roj
wrong|rong
rock|roxor
rock|roxxor
respect|rspct
retard|rtard
retry|rtry
right|ryt
right|ryte
suppose|s'pose
skater|s8ter
school|scool
money|scrilla
secret|scrt
second|sec
sex|secks
sexy|secksea
sexy|secksy
said|sed
stye|see
sex|seks
selling|sellin
sexy|sexc
sexy|sexe
sexy|sexi
sexy|sexii
sex|sexx0rz
safe|sfe
girl|shawty
should|shd
sexy|shexi
sexy|shexy
should|shld
sexy|shmexy
sure|sho
should|shud
sure|shure
shower|shwr
signature|sig
signature|siggy
sister|sis
sister|sista
skate|sk8
skater|sk8er
skating|sk8ing
skater|sk8r
skater|sk8ter
skater|sk8tr
schedule|sked
ejaculate|skeet
school|skewl
school|skhool
school|skl
school|skool
school|skoul
skater|sktr
school|skwl
sleeping|sleepin
sleeping|sleepn
slang|slng
slow|slo
sleep|slp
someone|sm1
sexy|smexy
something|smthin
something|smthng
sometime|smtm
kiss|snog
something|som'm
someone|som1
someone|some1
sorry|sorreh
sorry|sowi
sorry|sowwy
sorry|soz
speak|spk
sperm|sprm
search|srch
seriously|srly
sorry|srry
serious|srs
seriously|srsly
service|srvis
sorry|sry
seriously|srzly
stoned|st1
state|st8
stuff|stff
something|sth
something|sthing
stupid|stoopid
stupid|stpd
stupid|stupd
suck|suk
sucker|suka
sucks|sukz
someone|sum1
something|sumfin
something|summin
someone|sumone
something|sumthin'
something|sumtin
super|supa
supposedly|supposably
sucks|sux
sucks|sux0rz
sucks|suxor
sucks|suxors
sucks|suxorz
sucks|suxx
sucks|suxxor
seven|svn
sweet|swt
sex|sx
sexy|sxc
sexy|sxcy
sexy|sxi
sex|sxs
sexy|sxy
sorry|sz
the|t3h
taste|t8st
that|taht
retard|tard
that|tat
tattoo|tat2
the|teh
that|th@
the|tha
there|thar
that's|thatz
then|thn
think|thnk
thanks|thnx
though|tho
there|thr
therefore|thr4
through|thru
that|tht
thanks|thxx
tiger|tigger
until|til
is|tis
thanks|tks
told|tld
talk|tlk
tomorrow|tmmrw
tomorrow|tmoro
tomorrow|tmoz
tomorrow|tmr
tomorrow|tmrrw
tomorrow|tmrw
tomorrow|tmrz
tomorrow|tmz
thanks|tnx
thanks|tnxz
tomorrow|tomoz
tonight|tonite
totally|totes
total|totl
trouble|trble
tired|trd
translate|trnsl8
translator|trnsltr
true|tru
total|ttl
totally|ttlly
totally|ttly
tough|tuff
television|tv
vagina|twat
twitter|twttr
thanks|tx
thanks|txs
text|txt
time|tym
time|tyme
tired|tyred
you|u
you're|u'r
you've|u've
super|ub3r
over|uber
unlucky|ul
unfortunately|un4rtun8ly
your|ur
yours|urs
you've|uve
vagina|vag
vagina|vajayjay
video|vid
varsity|vrsty
very|vry
versus|vs
visit|vzit
whatever|w.e
whatever|w.e.
with|w/
whatever|w/e
weekend|w/end
whatever|w/eva
without|w/out
word|w012d
weed|w33d
wait|w8
waiter|w8ter
what|wat
whatever|watev
whatever|wateva
whatever|watevr
whatever|watevs
what's|wazz
drunk|wazzed
welcome|welc
when|wen
works|werkz
whatever|wev
whatever|wevr
what|wha
thong|whaletail
whatever|whatev
whatever|whatevs
whenever|whenevs
whatever|whever
with|whit
friend|whodi
where|whr
what|wht
whatever|whteve
whatever|whtever
whatever|whtevr
whatever|whtvr
what|whut
with|wid
without|widout
with|wif
winner|winnar
without|wio
with|wit
with|wiv
week|wk
wicked|wkd
weekend|wkend
will|wl
welcome|wlc
welcome|wlcm
would|wld
when|wn
wanker|wnkr
want|wnt
what|wot
whatever|wotevs
wow|wowzers
was|woz
word|wrd
weirdo|wrdo
work|wrk
wrong|wrng
writing|wrtg
worthless|wrthls
whatever|wtv
whatever|wtva
whatever|wtvr
love|wub
would|wud
whatever|wudev
would|wuld
what|wut
whatever|wuteva
love|wuv
was|wuz
why|wy
whatever|w\e
extreme|xtreme
except|xcept
except|xcpt
excellent|xellent
transfer|xfer
crossing|xing
exit|xit
excellent|xlnt
christmas|xmas
example|xmpl
hacker|xor
crossover|xover
experience|xp
expect|xpect
except|xpt
crossroads|xroads
excess|xs
ecstasy|xtc
extra|xtra
extreme|xtreme
why|y
you|y00
yeah|ya
cocaine|yayo
yeah|ye
yeah|yea
you're|yer
yes|yesh
you|yew
yeah|yh
you|yhew
young|yng
your|yo'
you|yooh
your|yor
year|yr
yearbook|yrbk
you|yu
you|yuo
yes|yup
your|yur
sex|zex
cigarette|zig
